plant_name,pot_size,n,p,k,co2,ph,ec,moisture,humidity,temperature,soil_type,rainfall,sunlight,sunlight_type,season,watering,plant_type
Tomato,10,100-200,50-100,150-250,400-600,6.0 -7.0,2.0-3.0,65 - 75,50 - 70,20-30,Sandy loam,100-200,6.0-8.0,Full sun,Winter,Regular,vegetable
Eggplant,15,150-300,75-150,200-300,400-600,5.5 -7.2,2.0-3.0,60 - 70,60 -70,20-30,Loamy,100-200,6.0-8.0,Full sun,Winter,Regular,vegetable
Indian Spinach,10,100-200,50-100,150-250,400-600,6.2 - 6.8,2.0-3.0,60 - 80,60 - 80,20-30,Sandy loam,100-200,4.0-6.0,Partial sun,Summer,Regular,vegetable
Okra,15,150-300,75-150,200-300,400-600,6.5 - 7.0,2.0-3.0,70 - 80,70 - 80,20-30,Sandy,100-200,6.0-8.0,Full sun,Spring,Regular,vegetable
Chili,10,100-200,50-100,150-250,400-600,6.0 - 7.0,2.0-3.0,70 - 80,40 - 70,20-30,Sandy loam,100-200,6.0-8.0,Full sun,Summer,Regular,vegetable
Gourd,15,150-300,75-150,200-300,400-600,6.5 -7.5,2.0-3.0,50 - 70,60 - 80,20-30,Loamy,100-200,6.0-8.0,Full sun,Winter,Regular,vegetable
Beans,10,100-200,50-100,150-250,400-600,6.5 - 8.0,2.0-3.0,50 -75,70 - 90,20-30,Loamy,100-200,4.0-6.0,Partial sun,Summer,Regular,vegetable
Cabbage,15,150-300,75-150,200-300,400-600,5.5 -  6.5,2.0-3.0,70 -75,60 - 80,20-30,Clay loamy,100-200,6.0-8.0,Full sun,Winter,Regular,vegetable
Cauliflower,15,150-300,75-150,200-300,400-600,5.5 - 6.5,2.0-3.0,70 -75,60 - 80,20-30,Clay loamy,100-200,6.0-8.0,Full sun,Winter,Regular,vegetable
Capsicum,10,100-200,50-100,150-250,400-600,6.0 - 7.0,2.0-3.0,60 - 80,50 - 80,20-30,Clay loamy,100-200,6.0-8.0,Full sun,Winter,Regular,vegetable
Mango,30,300-500,150-250,300-500,400-600,5.5 - 7.5,2.0-3.0,50 - 75,60 - 80,20-30,Loamy,100-200,6.0-8.0,Full sun,Rainy,Regular,fruit
Guava,20,200-300,100-200,200-300,400-600,6.0 - 8.0,2.0-3.0,60 - 80,70 - 80,20-30,Sandy loam,100-200,6.0-8.0,Full sun,Rainy,Regular,fruit
Pomegranate,25,250-400,125-250,250-400,400-600,5.5 - 7.5,2.0-3.0,50 -70,50 - 60,20-30,Sandy loam,100-200,6.0-8.0,Full sun,Spring,Regular,fruit
Hog-plum,15,150-300,75-150,200-300,400-600,6.0 - 7.5,2.0-3.0,50 - 75,60 - 80,20-30,Loamy,100-200,6.0-8.0,Full sun,Rainy,Regular,fruit
Jujube,20,200-300,100-200,200-300,400-600,5.5 - 6.5,2.0-3.0,60 - 80,50 - 80,20-30,Sandy loam,100-200,6.0-8.0,Full sun,Spring,Regular,fruit
Papaya,25,250-400,125-250,250-400,400-600,6.0 - 6.5,2.0-3.0,60 - 80,80 - 90,20-30,Sandy loam,100-200,6.0-8.0,Full sun,Rainy,Regular,fruit
Wax apple,15,150-300,75-150,200-300,400-600,5.5 - 6.5,2.0-3.0,50 - 60,70 - 80,20-30,Loamy,100-200,6.0-8.0,Full sun,Autumn,Regular,fruit
Orange,20,200-300,100-200,200-300,400-600,5.5 - 6.5,2.0-3.0,60 -80,50 - 80,20-30,Sandy loam,100-200,6.0-8.0,Full sun,Autumn,Regular,fruit
